Parcel_ID,Date,Depot_ID,Vehicle_Type,Service_Level,Weight_kg,Distance_km,Delivery_Status,Customer_Satisfaction_Score,CO2_Emissions_kg
PNL00000896,2025-03-11,D002,Diesel Van,International,13.71,15.8,Delivered,1,2.37
PNL00000897,2025-02-02,D003,Electric Van,Next Day,13.92,13.0,Delivered,9,0.0
PNL00000898,2025-02-22,D001,Diesel Van,International,12.91,28.1,Delivered,10,4.215
PNL00000899,2025-01-22,D006,Electric Van,Next Day,15.99,37.2,Delivered,5,0.0
PNL00000900,2025-01-21,D002,Cargo Bike,Standard,8.28,6.0,Delivered,1,0.0
PNL00000901,2025-03-11,D001,Electric Van,Standard,27.81,13.9,Delivered,8,0.0
PNL00000902,2025-03-11,D002,Large Truck,International,14.76,10.8,Delivered,1,9.18
PNL00000903,2025-01-04,D004,Cargo Bike,Standard,25.28,36.3,Delivered,4,0.0
PNL00000904,2025-03-16,D006,Electric Van,Standard,14.31,42.1,Delivered,7,0.0
PNL00000905,2025-03-03,D006,Cargo Bike,Next Day,21.58,5.4,Delivered,4,0.0
PNL00000906,2025-03-03,D004,Electric Van,Next Day,10.17,18.3,Delivered,5,0.0
PNL00000907,2025-01-24,D006,Large Truck,International,18.78,41.3,Delivered,7,35.105
PNL00000908,2025-02-24,D004,Diesel Van,Next Day,15.0,16.8,Delivered,4,2.52
PNL00000909,2025-01-09,D001,Diesel Van,International,11.08,32.6,Delivered,5,4.89
PNL00000910,2025-01-03,D005,Diesel Van,International,26.46,6.3,Delivered,7,0.945
PNL00000911,2025-01-31,D002,Electric Van,Next Day,3.47,21.1,Delivered,1,0.0
PNL00000912,2025-02-09,D004,Large Truck,Standard,14.66,23.6,Delivered,3,20.060000000000002
PNL00000913,2025-02-05,D002,Electric Van,Standard,5.91,34.6,Delayed,1,0.0
PNL00000914,2025-01-24,D001,Diesel Van,Standard,25.85,14.4,Delivered,3,2.16
PNL00000915,2025-01-06,D005,Diesel Van,Standard,7.68,13.4,Delivered,2,2.01
PNL00000916,2025-03-07,D001,Large Truck,International,19.04,15.0,Delivered,5,12.75
PNL00000917,2025-03-25,D006,Electric Van,Standard,5.05,25.9,Delivered,10,0.0
PNL00000918,2025-03-16,D002,Diesel Van,International,12.21,39.7,Delivered,5,5.955
PNL00000919,2025-01-04,D007,Diesel Van,Next Day,26.99,37.7,Delivered,10,5.655
PNL00000920,2025-03-20,D005,Cargo Bike,Next Day,5.07,4.5,Delivered,9,0.0
PNL00000921,2025-01-06,D006,Electric Van,International,19.93,39.8,Delivered,8,0.0
PNL00000922,2025-02-20,D005,Electric Van,Standard,6.21,6.1,Delivered,3,0.0
PNL00000923,2025-03-03,D006,Electric Van,International,12.53,19.9,Delivered,1,0.0
PNL00000924,2025-02-26,D001,Cargo Bike,Standard,16.26,34.9,Delivered,5,0.0
PNL00000925,2025-03-07,D004,Electric Van,Standard,17.36,5.5,Delivered,3,0.0
PNL00000926,2025-03-20,D002,Diesel Van,International,18.12,3.7,Delivered,5,0.555
PNL00000927,2025-03-16,D003,Electric Van,International,19.24,16.2,Delivered,9,0.0
PNL00000928,2025-01-08,D003,Cargo Bike,Standard,8.23,33.4,Delivered,1,0.0
PNL00000929,2025-01-26,D001,Large Truck,International,12.1,24.4,Delivered,1,20.74
PNL00000930,2025-02-20,D002,Diesel Van,Standard,1.22,19.9,Delivered,9,2.985
PNL00000931,2025-02-14,D002,Diesel Van,International,23.09,37.0,Failed-Address,3,5.55
PNL00000932,2025-02-13,D001,Electric Van,Next Day,25.13,35.0,Delivered,10,0.0
PNL00000933,2025-01-05,D002,Electric Van,Standard,6.06,35.8,Delivered,5,0.0
PNL00000934,2025-03-11,D004,Electric Van,Next Day,6.12,21.8,Delivered,9,0.0
PNL00000935,2025-01-26,D001,Diesel Van,International,1.36,2.8,Delivered,5,0.42
PNL00000936,2025-03-09,D004,Diesel Van,Next Day,29.11,9.4,Delivered,3,1.41
PNL00000937,2025-01-19,D002,Large Truck,International,24.23,33.9,Delivered,9,28.814999999999998
PNL00000938,2025-03-25,D001,Diesel Van,Standard,10.89,34.4,Delivered,7,5.159999999999999
PNL00000939,2025-01-20,D002,Diesel Van,International,14.51,43.8,Delivered,7,6.569999999999999
PNL00000940,2025-01-12,D001,Diesel Van,International,8.83,10.2,Delivered,8,1.5299999999999998
PNL00000941,2025-02-16,D002,Diesel Van,Standard,17.96,7.3,Delivered,5,1.095
PNL00000942,2025-01-01,D004,Electric Van,International,21.55,8.0,Delivered,2,0.0
PNL00000943,2025-03-31,D007,Diesel Van,Standard,13.48,9.9,Delivered,9,1.485
PNL00000944,2025-01-14,D004,Diesel Van,International,26.22,24.7,Delayed,3,3.7049999999999996
PNL00000945,2025-03-05,D002,Cargo Bike,Standard,15.56,43.9,Delivered,2,0.0
PNL00000946,2025-02-07,D001,Large Truck,Next Day,4.41,27.3,Delivered,10,23.205
PNL00000947,2025-02-06,D003,Diesel Van,International,18.71,24.5,Delivered,10,3.675
PNL00000948,2025-01-11,D004,Electric Van,International,13.92,31.0,Delivered,5,0.0
PNL00000949,2025-03-18,D004,Diesel Van,International,28.08,5.2,Delivered,8,0.78
PNL00000950,2025-01-03,D006,Diesel Van,Standard,11.82,37.1,Delivered,3,5.565
PNL00000951,2025-02-02,D003,Electric Van,International,12.15,29.8,Delivered,6,0.0
PNL00000952,2025-01-06,D002,Cargo Bike,Standard,19.56,9.4,Delivered,9,0.0
PNL00000953,2025-02-19,D007,Large Truck,International,15.86,29.1,Delivered,2,24.735
PNL00000954,2025-01-10,D001,Large Truck,Next Day,11.3,27.6,Delivered,8,23.46
PNL00000955,2025-01-05,D006,Electric Van,International,29.69,4.8,Delivered,10,0.0
PNL00000956,2025-01-23,D002,Cargo Bike,Next Day,9.14,13.5,Delivered,7,0.0
PNL00000957,2025-01-10,D005,Cargo Bike,Standard,8.4,18.8,Delivered,3,0.0
PNL00000958,2025-02-13,D007,Diesel Van,Next Day,25.95,12.5,Delivered,1,1.875
PNL00000959,2025-01-02,D004,Diesel Van,International,0.2,12.5,Returned,6,1.875
PNL00000960,2025-01-13,D005,Cargo Bike,International,6.12,26.6,Delivered,2,0.0
PNL00000961,2025-02-09,D004,Diesel Van,Standard,17.75,22.2,Delivered,3,3.3299999999999996
PNL00000962,2025-01-02,D004,Diesel Van,International,4.96,30.7,Delivered,5,4.6049999999999995
PNL00000963,2025-03-25,D005,Diesel Van,International,29.58,43.1,Delivered,8,6.465
PNL00000964,2025-03-06,D007,Diesel Van,Standard,13.98,30.4,Delivered,2,4.56
PNL00000965,2025-03-04,D005,Electric Van,Standard,17.96,27.0,Delivered,6,0.0
PNL00000966,2025-03-14,D002,Large Truck,Next Day,4.9,38.4,Returned,1,32.64
PNL00000967,2025-01-17,D006,Diesel Van,Standard,8.75,29.2,Delivered,7,4.38
PNL00000968,2025-01-09,D006,Diesel Van,International,18.48,9.1,Delivered,4,1.365
PNL00000969,2025-03-16,D005,Electric Van,Standard,16.53,15.5,Delivered,1,0.0
PNL00000970,2025-01-15,D002,Diesel Van,International,23.55,33.5,Delivered,9,5.0249999999999995
PNL00000971,2025-01-24,D006,Electric Van,Next Day,8.15,33.8,Delivered,9,0.0
PNL00000972,2025-02-07,D002,Electric Van,Standard,19.64,44.4,Failed-Address,3,0.0
PNL00000973,2025-02-04,D002,Diesel Van,International,8.8,29.0,Delivered,6,4.35
PNL00000974,2025-02-18,D004,Diesel Van,Standard,17.64,40.7,Delivered,7,6.105
PNL00000975,2025-03-10,D006,Diesel Van,Standard,18.19,4.3,Delivered,4,0.6449999999999999
PNL00000976,2025-03-03,D006,Electric Van,Standard,3.74,26.3,Returned,6,0.0
PNL00000977,2025-03-01,D004,Diesel Van,Standard,16.5,41.6,Delivered,9,6.24
PNL00000978,2025-02-19,D005,Electric Van,Next Day,0.46,14.4,Delayed,10,0.0
PNL00000979,2025-03-19,D004,Large Truck,International,15.09,8.7,Delivered,6,7.395
PNL00000980,2025-03-16,D006,Diesel Van,Standard,20.96,17.1,Delivered,7,2.565
PNL00000981,2025-01-09,D006,Diesel Van,International,2.28,36.1,Delivered,6,5.415
PNL00000982,2025-02-03,D007,Diesel Van,Next Day,28.17,5.6,Delivered,7,0.84
PNL00000983,2025-03-17,D005,Electric Van,International,13.82,27.8,Delivered,1,0.0
PNL00000984,2025-02-04,D004,Large Truck,International,28.16,7.8,Delivered,6,6.63
PNL00000985,2025-01-01,D001,Electric Van,Next Day,3.31,20.7,Delivered,9,0.0
PNL00000986,2025-02-09,D001,Diesel Van,Standard,28.5,43.5,Delayed,3,6.5249999999999995
PNL00000987,2025-03-05,D005,Diesel Van,International,3.36,10.4,Delivered,6,1.56
PNL00000988,2025-01-22,D004,Electric Van,International,13.9,3.5,Returned,4,0.0
PNL00000989,2025-03-01,D004,Cargo Bike,Standard,28.15,20.4,Delivered,7,0.0
PNL00000990,2025-03-05,D002,Diesel Van,Standard,7.06,26.8,Delivered,7,4.02
PNL00000991,2025-03-13,D006,Electric Van,International,1.14,14.8,Delayed,9,0.0
PNL00000992,2025-01-11,D003,Electric Van,Next Day,23.81,25.3,Delivered,4,0.0
PNL00000993,2025-01-14,D007,Electric Van,Standard,17.92,43.0,Delivered,8,0.0
PNL00000994,2025-03-01,D005,Cargo Bike,Standard,15.47,15.4,Delivered,8,0.0
PNL00000995,2025-01-30,D003,Diesel Van,Next Day,1.13,15.3,Delivered,8,2.295
PNL00000996,2025-02-04,D003,Electric Van,International,19.63,22.8,Delivered,8,0.0
PNL00000997,2025-03-26,D005,Electric Van,Standard,5.23,24.2,Delivered,6,0.0
PNL00000998,2025-02-06,D004,Diesel Van,International,27.94,2.1,Delivered,8,0.315
PNL00000999,2025-01-05,D005,Diesel Van,International,20.6,28.5,Delivered,6,4.2749999999999995
PNL00001000,2025-03-24,D003,Diesel Van,International,21.24,44.9,Delivered,10,6.734999999999999
PNL00001001,2025-03-19,D006,Diesel Van,Next Day,7.05,14.6,Delivered,2,2.19
PNL00001002,2025-01-26,D007,Electric Van,International,26.43,29.1,Delivered,3,0.0
PNL00001003,2025-03-03,D007,Diesel Van,International,16.18,2.2,Delivered,6,0.33
PNL00001004,2025-01-04,D006,Large Truck,Standard,25.73,28.0,Delivered,7,23.8
PNL00001005,2025-03-30,D006,Electric Van,Standard,8.2,21.2,Delivered,4,0.0
PNL00001006,2025-02-11,D004,Diesel Van,Next Day,22.69,24.8,Delivered,1,3.7199999999999998
PNL00001007,2025-03-30,D001,Diesel Van,Next Day,17.28,25.4,Delivered,4,3.8099999999999996
PNL00001008,2025-01-18,D005,Diesel Van,Standard,1.55,9.6,Delivered,6,1.44
PNL00001009,2025-02-09,D007,Electric Van,Standard,12.22,35.1,Delivered,8,0.0
PNL00001010,2025-03-13,D006,Cargo Bike,Next Day,5.6,25.9,Delivered,4,0.0
PNL00001011,2025-02-08,D005,Diesel Van,International,10.84,13.6,Delivered,10,2.04
PNL00001012,2025-01-14,D007,Diesel Van,Next Day,11.56,42.3,Delivered,1,6.345
PNL00001013,2025-02-01,D006,Diesel Van,International,14.3,2.5,Delivered,5,0.375
PNL00001014,2025-02-20,D007,Electric Van,Standard,18.05,33.2,Delivered,7,0.0
PNL00001015,2025-02-07,D004,Electric Van,Standard,17.17,18.4,Delayed,6,0.0
PNL00001016,2025-01-23,D001,Cargo Bike,Standard,1.27,24.5,Delivered,3,0.0
PNL00001017,2025-03-04,D001,Electric Van,International,22.55,14.5,Delivered,7,0.0
PNL00001018,2025-01-15,D006,Diesel Van,Next Day,28.48,15.8,Delivered,4,2.37
PNL00001019,2025-01-25,D007,Diesel Van,International,10.53,2.7,Delivered,5,0.405
PNL00001020,2025-01-17,D004,Diesel Van,Next Day,5.47,33.4,Delivered,7,5.01
PNL00001021,2025-03-07,D002,Diesel Van,Next Day,16.25,32.6,Delivered,2,4.89
PNL00001022,2025-03-19,D005,Diesel Van,Next Day,21.18,30.1,Delivered,4,4.515
PNL00001023,2025-02-22,D005,Electric Van,Standard,20.4,39.8,Delivered,4,0.0
PNL00001024,2025-02-20,D003,Diesel Van,Next Day,18.4,40.8,Delivered,6,6.119999999999999
PNL00001025,2025-02-08,D004,Diesel Van,Standard,4.47,25.9,Delivered,7,3.885
PNL00001026,2025-02-20,D007,Diesel Van,Next Day,25.12,31.4,Delivered,4,4.71
PNL00001027,2025-03-11,D003,Electric Van,Next Day,12.83,2.5,Delivered,10,0.0
PNL00001028,2025-01-06,D006,Diesel Van,Standard,6.72,38.4,Delivered,1,5.76
PNL00001029,2025-03-08,D007,Electric Van,Standard,2.68,37.1,Delivered,1,0.0
PNL00001030,2025-01-07,D003,Electric Van,International,12.56,2.9,Delivered,5,0.0
PNL00001031,2025-02-20,D001,Electric Van,Next Day,18.58,25.3,Delivered,1,0.0
PNL00001032,2025-03-13,D005,Cargo Bike,Standard,19.99,41.0,Delivered,3,0.0
PNL00001033,2025-02-11,D007,Electric Van,International,28.89,9.8,Delivered,9,0.0
PNL00001034,2025-03-05,D003,Electric Van,International,4.68,17.2,Delivered,3,0.0
PNL00001035,2025-01-15,D001,Electric Van,Standard,29.57,16.2,Delivered,3,0.0
PNL00001036,2025-01-29,D004,Electric Van,Next Day,19.67,17.3,Delivered,9,0.0
PNL00001037,2025-02-02,D003,Diesel Van,International,13.68,3.8,Delayed,5,0.57
PNL00001038,2025-01-27,D006,Electric Van,Next Day,26.66,14.0,Delivered,8,0.0
PNL00001039,2025-02-05,D006,Electric Van,Next Day,20.86,14.7,Delivered,10,0.0
PNL00001040,2025-01-29,D006,Diesel Van,International,10.53,39.2,Delivered,9,5.88
PNL00001041,2025-02-07,D007,Diesel Van,Standard,26.53,17.1,Delivered,6,2.565
PNL00001042,2025-02-26,D005,Cargo Bike,Next Day,20.03,21.2,Delivered,7,0.0
PNL00001043,2025-01-27,D003,Diesel Van,Standard,21.0,18.4,Delivered,7,2.76
PNL00001044,2025-02-24,D004,Electric Van,International,26.9,7.2,Delivered,7,0.0
PNL00001045,2025-02-02,D003,Diesel Van,Next Day,13.51,44.6,Delivered,4,6.69
PNL00001046,2025-03-09,D005,Electric Van,Standard,19.74,37.5,Delivered,2,0.0
PNL00001047,2025-03-27,D001,Diesel Van,Standard,22.37,25.3,Delivered,2,3.795
PNL00001048,2025-03-07,D005,Diesel Van,Next Day,13.67,22.5,Delivered,7,3.375
PNL00001049,2025-01-10,D006,Electric Van,Standard,2.6,29.9,Delivered,10,0.0
PNL00001050,2025-01-05,D007,Diesel Van,Standard,23.17,16.0,Delivered,7,2.4
PNL00001051,2025-03-15,D001,Cargo Bike,International,1.53,4.2,Delivered,10,0.0
PNL00001052,2025-02-07,D007,Large Truck,International,21.57,19.4,Delivered,7,16.49
PNL00001053,2025-01-13,D006,Diesel Van,Standard,27.34,44.3,Delivered,8,6.645
PNL00001054,2025-01-31,D002,Diesel Van,Standard,10.47,9.8,Delivered,3,1.47
PNL00001055,2025-02-16,D005,Electric Van,Next Day,3.15,24.7,Delivered,5,0.0
PNL00001056,2025-03-29,D005,Electric Van,International,7.06,2.4,Delivered,6,0.0
PNL00001057,2025-02-21,D004,Diesel Van,Next Day,16.91,7.2,Delivered,8,1.08
PNL00001058,2025-02-25,D003,Diesel Van,Standard,28.29,27.2,Delivered,8,4.08
PNL00001059,2025-01-15,D001,Large Truck,Next Day,15.42,14.8,Delivered,10,12.58
PNL00001060,2025-01-29,D007,Diesel Van,Standard,3.47,40.9,Delivered,3,6.135
PNL00001061,2025-01-08,D001,Diesel Van,International,18.87,19.5,Delivered,4,2.925
PNL00001062,2025-01-05,D004,Diesel Van,International,22.01,10.9,Delivered,6,1.635
PNL00001063,2025-01-29,D004,Cargo Bike,Standard,11.86,25.5,Delivered,4,0.0
PNL00001064,2025-02-16,D007,Diesel Van,International,21.67,36.2,Delivered,10,5.430000000000001
PNL00001065,2025-03-09,D003,Diesel Van,Standard,9.81,2.8,Delivered,4,0.42
PNL00001066,2025-03-17,D007,Diesel Van,Next Day,23.69,23.7,Delivered,5,3.5549999999999997
PNL00001067,2025-02-14,D007,Cargo Bike,Standard,10.3,35.3,Delayed,10,0.0
PNL00001068,2025-01-02,D006,Electric Van,Next Day,7.76,6.5,Delivered,7,0.0
PNL00001069,2025-01-27,D003,Cargo Bike,Standard,26.39,40.8,Delivered,2,0.0
PNL00001070,2025-02-05,D005,Diesel Van,International,16.5,13.4,Delayed,2,2.01
PNL00001071,2025-02-05,D006,Diesel Van,Standard,8.63,9.3,Delivered,10,1.395
PNL00001072,2025-01-26,D002,Diesel Van,Standard,28.06,27.3,Delivered,9,4.095
PNL00001073,2025-02-12,D003,Diesel Van,Standard,20.76,9.5,Delivered,4,1.425
PNL00001074,2025-01-27,D004,Electric Van,International,6.7,31.2,Delivered,5,0.0
PNL00001075,2025-03-10,D006,Cargo Bike,Standard,18.48,23.1,Delivered,3,0.0
PNL00001076,2025-01-20,D003,Diesel Van,International,26.12,6.7,Delivered,2,1.005
PNL00001077,2025-01-11,D001,Diesel Van,Standard,20.91,41.2,Delivered,10,6.180000000000001
PNL00001078,2025-03-15,D007,Electric Van,Next Day,7.42,30.9,Delivered,8,0.0
PNL00001079,2025-02-07,D002,Diesel Van,Standard,19.5,25.5,Delivered,4,3.8249999999999997
PNL00001080,2025-01-06,D005,Diesel Van,Next Day,18.61,18.1,Delivered,1,2.7150000000000003
PNL00001081,2025-03-13,D007,Diesel Van,International,24.64,7.8,Delivered,6,1.17
PNL00001082,2025-01-23,D001,Diesel Van,International,5.43,32.4,Delivered,6,4.859999999999999
PNL00001083,2025-02-16,D001,Diesel Van,Standard,21.02,37.0,Delivered,2,5.55
PNL00001084,2025-03-31,D002,Large Truck,International,0.92,7.4,Delivered,2,6.29
PNL00001085,2025-02-15,D005,Diesel Van,Standard,20.92,23.3,Delivered,8,3.495
PNL00001086,2025-01-12,D004,Cargo Bike,International,28.82,22.8,Delivered,7,0.0
PNL00001087,2025-03-31,D006,Electric Van,Next Day,5.31,17.0,Delivered,2,0.0
PNL00001088,2025-01-13,D005,Diesel Van,International,9.41,35.9,Delivered,10,5.385
PNL00001089,2025-03-03,D003,Diesel Van,Next Day,17.53,6.3,Delivered,1,0.945
PNL00001090,2025-03-23,D001,Diesel Van,Standard,22.0,10.8,Delivered,8,1.62
PNL00001091,2025-03-30,D003,Cargo Bike,Standard,10.4,2.1,Delivered,10,0.0
PNL00001092,2025-03-01,D004,Electric Van,Standard,19.96,18.0,Delivered,2,0.0
PNL00001093,2025-02-12,D003,Electric Van,Next Day,26.99,14.5,Delivered,5,0.0
PNL00001094,2025-03-17,D005,Cargo Bike,Standard,21.82,39.3,Delivered,6,0.0
PNL00001095,2025-03-09,D003,Electric Van,Standard,21.36,34.1,Failed-Address,10,0.0
PNL00001096,2025-01-05,D004,Diesel Van,Next Day,11.52,5.6,Delivered,1,0.84
PNL00001097,2025-02-06,D004,Diesel Van,International,27.35,33.9,Delivered,2,5.085
PNL00001098,2025-03-13,D004,Cargo Bike,Standard,8.39,31.0,Delayed,10,0.0
PNL00001099,2025-01-31,D005,Electric Van,International,6.24,14.1,Delivered,4,0.0
PNL00001100,2025-01-09,D004,Electric Van,International,10.99,2.7,Delivered,2,0.0
PNL00001101,2025-02-20,D001,Diesel Van,Standard,19.54,7.0,Delivered,6,1.05
PNL00001102,2025-01-29,D007,Large Truck,Standard,25.86,12.7,Delivered,4,10.795
PNL00001103,2025-03-19,D004,Diesel Van,Next Day,4.05,37.1,Delivered,3,5.565
PNL00001104,2025-02-09,D003,Diesel Van,Next Day,24.43,22.0,Delivered,6,3.3
PNL00001105,2025-02-10,D006,Diesel Van,Standard,24.4,41.5,Delivered,9,6.225
PNL00001106,2025-03-27,D003,Large Truck,International,17.65,35.9,Delayed,8,30.514999999999997
PNL00001107,2025-01-11,D006,Cargo Bike,Next Day,22.84,14.3,Failed-Address,2,0.0
PNL00001108,2025-01-23,D003,Large Truck,Next Day,5.54,38.4,Delivered,3,32.64
PNL00001109,2025-01-01,D005,Electric Van,Standard,5.17,7.0,Delivered,2,0.0
PNL00001110,2025-02-15,D003,Electric Van,Standard,25.9,3.6,Delivered,10,0.0
PNL00001111,2025-01-21,D005,Diesel Van,Standard,14.99,28.2,Delivered,7,4.2299999999999995
PNL00001112,2025-03-31,D005,Cargo Bike,Standard,7.45,16.7,Delivered,9,0.0
PNL00001113,2025-02-05,D004,Electric Van,Next Day,20.69,16.2,Delivered,1,0.0
PNL00001114,2025-02-23,D001,Electric Van,Next Day,26.77,31.5,Delivered,3,0.0
PNL00001115,2025-03-28,D006,Cargo Bike,Next Day,19.01,38.6,Delivered,6,0.0
PNL00001116,2025-02-26,D004,Electric Van,International,10.49,15.9,Delivered,4,0.0
PNL00001117,2025-01-01,D004,Diesel Van,Next Day,14.55,16.0,Delivered,10,2.4
PNL00001118,2025-03-04,D007,Diesel Van,Next Day,22.59,25.0,Delivered,10,3.75
PNL00001119,2025-02-23,D005,Diesel Van,Standard,2.12,30.1,Delivered,1,4.515
PNL00001120,2025-02-24,D005,Cargo Bike,Next Day,6.59,10.7,Delivered,9,0.0
PNL00001121,2025-02-09,D006,Diesel Van,Next Day,13.93,41.2,Delivered,7,6.180000000000001
PNL00001122,2025-01-15,D003,Diesel Van,Next Day,18.17,30.1,Delayed,7,4.515
PNL00001123,2025-01-21,D003,Diesel Van,Standard,10.24,28.9,Delivered,1,4.335
PNL00001124,2025-02-16,D004,Diesel Van,Next Day,9.02,40.9,Delayed,9,6.135
PNL00001125,2025-03-14,D002,Diesel Van,Next Day,1.34,41.0,Delivered,8,6.1499999999999995
PNL00001126,2025-02-22,D002,Electric Van,International,1.07,7.8,Delivered,10,0.0
PNL00001127,2025-01-09,D003,Electric Van,International,8.43,8.2,Delivered,5,0.0
PNL00001128,2025-03-15,D002,Electric Van,International,15.96,34.8,Delivered,4,0.0
PNL00001129,2025-02-21,D007,Electric Van,International,16.74,43.1,Delivered,1,0.0
PNL00001130,2025-02-26,D003,Diesel Van,Standard,14.87,30.7,Delivered,9,4.6049999999999995
PNL00001131,2025-01-26,D005,Cargo Bike,International,12.36,19.7,Delivered,8,0.0
PNL00001132,2025-02-10,D004,Cargo Bike,Next Day,7.64,31.4,Delivered,2,0.0
PNL00001133,2025-02-04,D001,Cargo Bike,International,12.08,11.8,Delivered,4,0.0
PNL00001134,2025-03-04,D004,Diesel Van,Standard,4.25,44.9,Delivered,4,6.734999999999999
PNL00001135,2025-01-25,D003,Diesel Van,International,3.55,20.5,Delivered,7,3.0749999999999997
PNL00001136,2025-03-31,D007,Diesel Van,International,9.07,42.1,Delivered,3,6.315
PNL00001137,2025-03-16,D003,Electric Van,Standard,29.86,20.5,Delivered,8,0.0
PNL00001138,2025-02-07,D004,Electric Van,Standard,9.86,41.9,Delivered,7,0.0
PNL00001139,2025-01-02,D007,Diesel Van,Standard,28.1,16.4,Delivered,10,2.4599999999999995
PNL00001140,2025-01-07,D007,Large Truck,Standard,11.83,34.7,Delivered,4,29.495
PNL00001141,2025-03-23,D007,Electric Van,Standard,13.23,42.9,Failed-Address,9,0.0
PNL00001142,2025-02-03,D006,Electric Van,Standard,23.93,29.8,Delivered,6,0.0
PNL00001143,2025-01-17,D003,Cargo Bike,Next Day,2.9,31.1,Delivered,3,0.0
PNL00001144,2025-02-12,D002,Electric Van,International,5.55,6.4,Delivered,7,0.0
PNL00001145,2025-02-28,D002,Cargo Bike,International,29.22,22.4,Delivered,6,0.0
PNL00001146,2025-02-20,D003,Cargo Bike,Standard,15.23,40.1,Delivered,8,0.0
PNL00001147,2025-02-23,D003,Large Truck,Standard,1.42,12.4,Returned,5,10.54
PNL00001148,2025-01-24,D006,Diesel Van,Next Day,1.52,35.9,Delivered,6,5.385
PNL00001149,2025-01-25,D002,Diesel Van,Next Day,27.23,31.1,Delivered,1,4.665
PNL00001150,2025-03-12,D003,Diesel Van,Standard,26.21,11.6,Delivered,8,1.74
PNL00001151,2025-02-21,D003,Diesel Van,Next Day,13.81,14.2,Delivered,1,2.13
PNL00001152,2025-03-11,D006,Diesel Van,Next Day,4.98,20.4,Failed-Address,3,3.0599999999999996
PNL00001153,2025-03-29,D006,Electric Van,Standard,24.93,7.4,Delivered,2,0.0
PNL00001154,2025-02-02,D004,Diesel Van,Standard,9.81,41.3,Delivered,6,6.194999999999999
PNL00001155,2025-02-18,D006,Diesel Van,Standard,12.63,33.8,Delivered,8,5.069999999999999
PNL00001156,2025-01-29,D001,Cargo Bike,Standard,20.51,17.7,Delivered,8,0.0
PNL00001157,2025-03-04,D002,Cargo Bike,International,10.67,14.9,Delivered,7,0.0
PNL00001158,2025-01-22,D004,Diesel Van,International,18.9,31.7,Delayed,7,4.755
PNL00001159,2025-01-26,D001,Electric Van,Standard,26.57,20.2,Returned,8,0.0
PNL00001160,2025-01-28,D003,Cargo Bike,Next Day,23.94,11.9,Delivered,5,0.0
PNL00001161,2025-03-26,D003,Diesel Van,Standard,11.51,20.5,Delivered,3,3.0749999999999997
PNL00001162,2025-02-18,D004,Cargo Bike,International,8.71,39.5,Delivered,2,0.0
PNL00001163,2025-03-12,D006,Large Truck,Next Day,8.64,5.0,Delivered,3,4.25
PNL00001164,2025-03-22,D007,Electric Van,International,10.52,17.8,Delivered,3,0.0
PNL00001165,2025-03-25,D007,Cargo Bike,Standard,14.86,43.4,Delivered,7,0.0
PNL00001166,2025-02-18,D003,Electric Van,International,12.56,2.6,Delivered,1,0.0
PNL00001167,2025-01-20,D007,Diesel Van,International,4.08,40.3,Delivered,7,6.044999999999999
PNL00001168,2025-03-27,D005,Diesel Van,International,4.99,18.1,Delivered,6,2.7150000000000003
PNL00001169,2025-03-04,D004,Electric Van,Next Day,10.35,10.1,Delivered,10,0.0
PNL00001170,2025-03-02,D001,Cargo Bike,International,16.91,2.6,Delivered,2,0.0
PNL00001171,2025-02-18,D004,Electric Van,Next Day,17.82,5.0,Delivered,10,0.0
PNL00001172,2025-03-12,D002,Electric Van,Standard,14.64,9.4,Delivered,1,0.0
PNL00001173,2025-01-01,D006,Diesel Van,Standard,22.19,3.1,Delivered,9,0.46499999999999997
PNL00001174,2025-01-13,D006,Cargo Bike,International,22.14,16.4,Delivered,2,0.0
PNL00001175,2025-03-28,D004,Large Truck,Next Day,12.89,3.9,Delivered,4,3.315
PNL00001176,2025-02-20,D003,Cargo Bike,Standard,3.82,31.8,Delivered,9,0.0
PNL00001177,2025-02-25,D003,Diesel Van,Next Day,15.95,37.2,Delivered,9,5.58
PNL00001178,2025-03-24,D005,Diesel Van,Next Day,11.51,40.2,Delivered,1,6.03
PNL00001179,2025-03-03,D005,Electric Van,International,4.22,25.6,Failed-Address,2,0.0
PNL00001180,2025-02-01,D006,Electric Van,International,29.46,42.7,Delivered,2,0.0
PNL00001181,2025-01-30,D005,Diesel Van,Next Day,11.16,2.2,Delivered,2,0.33
PNL00001182,2025-01-29,D001,Diesel Van,Next Day,18.81,7.8,Delivered,8,1.17
PNL00001183,2025-02-18,D005,Diesel Van,International,14.75,14.6,Delivered,8,2.19
PNL00001184,2025-02-14,D001,Cargo Bike,Next Day,4.37,35.9,Delivered,10,0.0
PNL00001185,2025-01-30,D005,Diesel Van,International,1.76,40.1,Delivered,8,6.015
PNL00001186,2025-01-16,D006,Electric Van,Next Day,18.81,28.6,Delivered,4,0.0
PNL00001187,2025-02-09,D006,Electric Van,International,7.49,18.5,Delivered,8,0.0
PNL00001188,2025-01-19,D001,Cargo Bike,Next Day,7.39,30.6,Delivered,7,0.0
PNL00001189,2025-01-18,D004,Cargo Bike,International,28.71,9.8,Delivered,8,0.0
PNL00001190,2025-01-01,D006,Cargo Bike,Next Day,13.91,21.7,Delivered,1,0.0
PNL00001191,2025-03-19,D004,Electric Van,Standard,0.98,23.8,Delivered,3,0.0
